# type	path	mode	uid	gid	major	minor	rawdev
c	/dev/console	666	3	0	19	8	4872
b	/dev/fd1	666	3	1	74	2	3164674
b	/dev/hd0	644	3	1	0	2	2
b	/dev/hd1	644	3	1	14	2	69122
b	/dev/hd2	644	3	1	14	2	134658
b	/dev/hd3	644	3	1	14	2	200194
c	/dev/kmem	600	3	1	0	0	131072
c	/dev/lp	600	3	1	0	3	3
c	/dev/mem	600	3	1	0	0	65536
c	/dev/null	666	3	1	49	0	12544
b	/dev/ram	644	3	1	0	7	7
c	/dev/rfd1	666	3	1	0	2	3145730
c	/dev/rhd0	644	3	1	0	2	2
b	/dev/rhd1	644	3	1	0	2	65538
c	/dev/rhd2	644	3	1	0	2	131074
c	/dev/rwd3	644	3	1	0	2	196610
b	/dev/swap	644	3	1	0	2	196610
c	/dev/tty	666	3	1	62	1	15873
c	/dev/tty50	666	3	1	5	5	1285
c	/dev/tty51	666	3	1	0	5	65541
c	/dev/tty52	666	3	1	0	5	131077
c	/dev/tty53	666	3	1	0	5	196613
c	/dev/tty54	666	3	1	0	5	262149
c	/dev/tty55	666	3	1	0	5	327685
c	/dev/tty80	666	3	1	0	8	8
c	/dev/ptyp0	666	3	1	0	9	9
c	/dev/ptyp1	666	3	1	1	9	265
c	/dev/ptyp2	666	3	1	2	9	521
c	/dev/ptyp3	666	3	1	3	9	777
c	/dev/ttyp0	666	3	1	0	10	10
c	/dev/ttyp1	666	3	1	1	10	266
c	/dev/ttyp2	666	3	1	2	10	522
c	/dev/ttyp3	666	3	1	3	10	778
c	/dev/smgr	666	3	1	0	7	65543
c	/dev/dmgr	666	3	1	0	7	131079
c	/dev/wmgr0	666	3	1	0	7	196615
c	/dev/wmgr1	666	3	1	0	7	262151
c	/dev/wmgr2	666	3	1	0	7	327687
c	/dev/window0	666	3	1	0	7	393223
c	/dev/window1	666	3	1	0	7	458759
c	/dev/window2	666	3	1	0	7	524295
c	/dev/window3	666	3	1	0	7	589831
c	/dev/window4	666	3	1	0	7	655367
c	/dev/window5	666	3	1	0	7	720903
c	/dev/window6	666	3	1	0	7	786439
c	/dev/window7	666	3	1	0	7	851975
c	/dev/window8	666	3	1	0	7	917511
c	/dev/window9	666	3	1	0	7	983047
c	/dev/window10	666	3	1	0	7	1048583
c	/dev/window11	666	3	1	0	7	1114119
c	/dev/window12	666	3	1	0	7	1179655
c	/dev/window13	666	3	1	0	7	1245191
